identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,pt-PT
ToM-scene-8-q7-reality_check,"theory-of-mind, Stories",Can you help Allie find her pencil? Is it on top of the shelf or behind the backpack shelf?,¿Puedes ayudarle a Alejandra a encontrar su lápiz? ¿Está encima de la repisa o detrás del mueble de maletas?,"Kannst du Linda helfen, ihren Bleistift zu finden? Liegt er oben auf dem Regal oder hinter dem Rucksackregal?",,,,,,Você pode ajudar Allie a encontrar seu lápis? Está em cima da prateleira ou atrás da prateleira de mochilas?
ToM-scene-9-instruct1,"theory-of-mind, Stories","This is Mark. Mark is playing a really silly game today and not saying any words all day long. Instead, Mark is drawing pictures. Mark is at the library, deciding which book he would like to read. Mom shows Mark two books, a book about cups and a book about hills.","Este es Marco. Marco está jugando hoy un juego un poco loco en el que no dice ninguna palabra en todo el día. En vez de hablar, está haciendo dibujos. Marco está en la biblioteca, decidiendo qué libro le gustaría leer. La mamá le muestra a Marco dos libros: uno sobre tazas y otro sobre montañas.
","Das ist Mark. Mark spielt heute ein wirklich albernes Spiel und sagt den ganzen Tag lang kein einziges Wort. Stattdessen malt Mark Bilder. Mark ist in der Bibliothek und überlegt, welches Buch er gerne lesen möchte. Mama zeigt Mark zwei Bücher, ein Buch über Tassen und ein Buch über Hügel.",,,,,,"Este é Mark. Mark está jogando um jogo muito bobo hoje e não diz nenhuma palavra o dia todo. Em vez disso, Mark está desenhando imagens. Mark está na biblioteca, decidindo qual livro ele gostaria de ler. A mãe mostra a Mark dois livros, um sobre xícaras e outro sobre colinas."
ToM-scene-9-instruct2,"theory-of-mind, Stories","Mark draws a picture of a hill, to tell Mom that he wants to read the book about hills. But when Mark gives Mom the picture, she holds it upside-down, so that it looks like a cup!","Marco dibuja una colina para decirle a la mamá que quiere leer el libro sobre montañas. Pero cuando Marco le da el dibujo a mamá, ella lo mira al revés, ¡y entonces parece una taza!","Mark malt ein Bild von einem Hügel, um Mama zu sagen, dass er das Buch über Hügel lesen möchte. Aber als Mark Mama das Bild gibt, hält sie es verkehrt herum so dass es wie eine Tasse aussieht!",,,,,,"Mark desenha a imagem de uma colina, para dizer à mãe que quer ler o livro sobre colinas. Mas quando Mark dá à mãe o desenho, ela segura-o de cabeça para baixo, fazendo parecer uma xícara!"
ToM-scene-9-q1-reality_check,"theory-of-mind, Stories",What did Mark mean to draw?,¿Qué quería dibujar Marco?,Was wollte Mark eigentlich zeichnen?,,,,,,O que Mark queria desenhar?
hill,"theory-of-mind, Stories",A hill,Una montaña,Einen Hügel,,,,,,Uma colina
cup,"theory-of-mind, Stories",A cup,Una taza,Eine Tasse,,,,,,Uma xícara
ToM-scene-9-q2-false_belief,"theory-of-mind, Stories","When Mom sees the picture, what book will she give Mark? ","Cuando la mamá vea el dibujo, ¿qué libro le dará a Marco?","Wenn Mama das Bild sieht, welches Buch wird sie Mark geben?",,,,,,"Ao ver a imagem, que livro a mãe dará a Mark?"
ToM-scene-9-q3-reality_check,"theory-of-mind, Stories",What book does Mark really want? ,¿Qué libro quiere Marco en realidad?,Welches Buch will Mark wirklich?,,,,,,Qual livro Mark realmente quer?
hillsbook,"theory-of-mind, Stories",The book about hills,El libro de las montañas,Das Buch über Hügel,,,,,,O livro sobre colinas
cupbook,"theory-of-mind, Stories",The book about cups,El libro sobre tazas,Das Buch über Tassen,,,,,,O livro sobre xícaras
ToM-scene-9-q4-emotion_reasoning,"theory-of-mind, Stories","Look, Mom realized her mistake and gave Mark the book he really wanted! How do you think Mark feels about getting the book he wanted?","Mira, la mamá se ha dado cuenta de su error y le ha dado a Marco el libro que él realmente quería. ¿Cómo crees que se siente Marco al recibir el libro que quería?","Sieh mal, Mama hat den Fehler erkannt und Mark das Buch gegeben, das er wirklich wollte! Was glaubst du, wie sich Mark fühlt, weil er das Buch bekommen hat, das er wollte?",,,,,,"Olha, a mãe percebeu seu erro e deu a Mark o livro que ele realmente queria! Como você acha que Mark se sente por conseguir o livro que queria?"
ToM-scene-10-instruct1,"theory-of-mind, Stories",Teacher Sarah tells all of the kids to take one storybook from the bag that she brought. There is one storybook for every kid.,La profesora Sara le dice a todos sus estudiantes que cojan un libro de cuentos de la bolsa que trajo. Hay un libro de cuentos para cada estudiante.,"Lehrerin Sarah bittet alle Kinder, sich ein Bilderbuch aus der Tasche zu nehmen, die sie mitgebracht hat. Für jedes Kind gibt es ein Bilderbuch.",,,,,,A Professora Sarah diz para todas as crianças pegarem um livro de histórias da bolsa que ela trouxe. Há um livro de histórias para cada criança.
ToM-scene-10-instruct2,"theory-of-mind, Stories","Now there are two storybooks left, and Brian and Megan are the last two kids without storybooks. But when Brian goes to get his storybook, he decides to take both storybooks, even though he knows that Megan doesn’t have a storybook yet, and that everyone is only supposed to have one. Brian hides the extra storybook in his desk.","Ahora quedan solo dos libros de cuentos y Brian y Megan son los dos últimos estudiantes que todavía no tienen un libro. Pero cuando Brian va a escoger su libro, decide coger los dos, aunque sabe que Megan todavía no tiene uno y que se supone que todos deberían tener un libro. Brian esconde el segundo libro de cuentos en su escritorio.","Jetzt sind noch zwei Märchenbücher übrig, und Alexander und Tina sind die letzten beiden Kinder ohne Märchenbuch. Aber als Alexander sein Bilderbuch holen geht, beschließt er, beide Bilderbücher zu nehmen, obwohl er weiß, dass Tina noch kein Bilderbuch hat und dass jedes Kind nur eins haben darf. Alexander versteckt das zusätzliche Märchenbuch in seinem Schreibtisch.",,,,,,"Agora há dois livros de histórias restantes, e Brian e Megan são as duas últimas crianças sem livros de histórias. Mas quando Brian vai pegar seu livro, ele decide levar ambos, embora saiba que Megan ainda não tem um livro e que todos devem ter apenas um. Brian esconde o livro extra na sua mesa."
ToM-scene-10-q1-emotion_reasoning,"theory-of-mind, Stories",How does Megan feel about being the only child without a storybook?,¿Cómo se siente Megan al ser la única niña sin libro de cuentos?,"Wie fühlt sich Tina, weil sie das einzige Kind ohne ein Märchenbuch ist?",,,,,,Como Megan se sente por ser a única criança sem um livro de histórias?
ToM-scene-10-q2-emotion_reasoning,"theory-of-mind, Stories",How would Megan feel if she received a book?,¿Cómo se sentiría Megan si recibiera un libro?,"Wie würde sich Tina fühlen, wenn sie ein Buch bekommen würde?",,,,,,Como Megan se sentiria se recebesse um livro?
ToM-scene-10-instruct3,"theory-of-mind, Stories","Teacher Sarah asks Brian, “Is there a storybook leftover, so Megan can have one?” Brian tells Teacher Sarah, “No, there is no storybook left. They are all being used right now.”","La profesora Sara le pregunta a Brian: ""¿Queda algún libro de cuentos para que Megan pueda tener uno?""  Brian le dice a la profesora Sara: ""No, no queda ningún libro de cuentos. Todos se están usando.""","Lehrerin Sarah fragt Alexander: „Ist noch ein Märchenbuch übrig, damit Tina eins haben kann?“  Alexander sagt zu Lehrerin Sarah: „Nein, es ist kein Märchenbuch übrig. Sie werden gerade alle benutzt.“",,,,,,"A professora Sarah pergunta a Brian: “Sobrou algum livro de histórias, para que Megan possa ter um?” Brian diz à professora Sarah: “Não, não sobrou nenhum livro de histórias. Estão todos sendo usados agora.”"
ToM-scene-10-q3-reality_check,"theory-of-mind, Stories",Is Brian lying?,¿Está mintiendo Brian?,Lügt Alexander?,,,,,,Brian está mentindo?
ToM-scene-10-q4-reality_check,"theory-of-mind, Stories","Is there still a storybook left, that isn’t being used right now?",¿Queda un libro de cuentos que no se esté usando?,"Ist noch ein Märchenbuch übrig, das gerade nicht benutzt wird?",,,,,,Ainda há um livro de histórias que não está sendo utilizado agora?
ToM-scene-10-instruct4,"theory-of-mind, Stories","Megan is sad that she doesn’t have a storybook, and asks Teacher Sarah, ""is there an extra storybook for me?"" Teacher Sarah says, “I’m so sorry Megan, but there are no storybooks left, they are all being used right now.”","Megan está triste porque no tiene un libro de cuentos y le pregunta a la profesora Sara: ""¿Queda algún libro de cuentos para mí?"" La profesora Sara le dice: ""Lo siento mucho Megan, pero no quedan libros de cuentos, todos están en uso.""","Tina ist traurig, dass sie kein Märchenbuch hat, und fragt Lehrerin Sarah: „Gibt es ein zusätzliches Märchenbuch für mich?"" Lehrerin Sarah sagt: „Es tut mir so leid, Tina, aber es gibt keine Märchenbücher mehr, sie werden gerade alle benutzt.“",,,,,,"Megan está triste por não ter um livro de histórias e pergunta à Professora Sarah: ""Há um livro de histórias extra para mim?"" A Professora Sarah responde: ""Sinto muito Megan, mas não há mais livros de histórias, todos estão sendo usados agora."""
ToM-scene-10-q5-false_belief,"theory-of-mind, Stories",Is Teacher Sarah lying?,¿Está mintiendo la profesora Sara?,Lügt Lehrerin Sarah?,,,,,,A Professora Sarah está mentindo?
ToM-scene-10-q6-reality_check,"theory-of-mind, Stories","Is there still a storybook left, that isn’t being used right now?",¿Aún queda un libro de cuentos que no se esté usando?,"Gibt es noch ein Märchenbuch, das gerade nicht benutzt wird?",,,,,,Ainda há um livro de histórias disponível que não está sendo usado agora?
ToM-scene-11-instruct1,"theory-of-mind, Stories","This is Josh. Earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf.","Este es José. Hace un rato, José estaba ordenando su habitación. José puso su pelota grande de baloncesto en el escritorio, su pelota mediano de fútbol en la mesa de noche y su pelota pequeña de béisbol en el estante de abajo.","Das ist Karl. Heute früh hat Karl sein Zimmer aufgeräumt. Karl hat seinen großen Basketball auf den Schreibtisch gelegt, seinen mittelgroßen Fußball auf den Tisch und seinen kleinen Baseball auf das unterste Regal.",,,,,,"Este é o Josh. Mais cedo hoje, Josh estava arrumando seu quarto. Josh colocou sua grande bola de basquete na mesa, sua bola de futebol de tamanho médio na mesa e sua pequena bola de beisebol na prateleira de baixo."
ToM-scene-11-instruct2,"theory-of-mind, Stories","Josh’s mom just walked in and Josh asks his mom to get one of the toys. Josh tells his mom, “I want the small ball!”","La madre de José acaba de entrar y José le pide a ella que coja un juguete. José le dice a su mamá: ""¡Quiero la pelota pequeña!","Karls Mutter kam gerade herein und Karl bat seine Mutter, eines der Spielzeuge zu holen. Karl sagt zu seiner Mutter: „Ich will den kleinen Ball!“",,,,,,A mãe do Josh acabou de entrar e Josh pede à mãe para pegar um dos brinquedos. Josh diz à mãe: “Eu quero a bola pequena!”
ToM-scene-11-q1-reference,"theory-of-mind, Stories",Which ball will mom get for Josh?,¿Cuál pelota cogerá la mamá para José?,Welchen Ball wird Mama für Karl holen?,,,,,,Qual bola a mãe pegará para Josh?
ToM-scene-11-q2-reality_check,"theory-of-mind, Stories",Which ball does Josh want?,¿Cuál pelota quiere José?,Welchen Ball will Karl?,,,,,,Qual bola Josh quer?
baseball,"theory-of-mind, Stories",The small baseball,La pelota pequeña de béisbol,Den kleinen Baseball,,,,,,A pequena bola de beisebol
soccerball,"theory-of-mind, Stories",The medium sized soccer ball,La pelota mediana de fútbol,Den mittelgroßen Fußball,,,,,,A bola de futebol de tamanho médio
big-basketball,"theory-of-mind, Stories",The big basketball,La pelota grande de baloncesto,Den großen Basketball,,,,,,A bola de basquete grande
ToM-scene-11-q3-emotion_reasoning,"theory-of-mind, Stories",Josh wanted the baseball but mom gave him the soccer ball! How do you think Josh feels about receiving the wrong toy?,"José quería la pelota de béisbol, ¡pero su mamá le dio la pelota de fútbol! ¿Cómo crees que se siente José al recibir el juguete equivocado?","Karl wollte den Baseball, aber Mama gab ihm den Fußball! Was denkst du, wie sich Karl fühlt, wenn er das falsche Spielzeug bekommt?",,,,,,"Josh queria a bola de beisebol, mas a mãe deu a bola de futebol. Como você acha que Josh se sente ao receber o brinquedo errado?"
ToM-scene-11-q4-emotion_reasoning,"theory-of-mind, Stories",How do you think Josh would feel if he had received the correct toy?,¿Cómo crees que se sentiría José si hubiera recibido el juguete correcto?,"Was denkst du, wie er sich fühlen würde, wenn er das richtige Spielzeug bekommen hätte?",,,,,,Como você acha que Josh se sentiria se ele tivesse recebido o brinquedo correto?
ToM-scene-12-instruct1,"theory-of-mind, Stories","This morning, Dad asked Emma what toy she would like to take to school, and Emma told him that she would like to play with her yellow ball at recess.","Esta mañana, Papá le preguntó a Emma qué juguete le gustaría llevarse al colegio y Emma dijo que quería jugar con su pelota amarilla en el recreo.","Heute Morgen fragte Papa Emma, welches Spielzeug sie gerne mit in die Schule nehmen würde, und Emma sagte ihm, dass sie in der Pause gerne mit ihrem gelben Ball spielen würde.",,,,,,"Hoje de manhã, o papai perguntou a Emma que brinquedo ela gostaria de levar para a escola, e Emma lhe disse que gostaria de brincar com sua bola amarela no recreio."
ToM-scene-12-instruct2,"theory-of-mind, Stories","Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.","Después, Emma se fue a su habitación a prepararse para ir al colegio. Mientras se preparaba, cambió de opinión y le gritó a su papá: ""En realidad, ¿podría mejor llevar mi pelota roja, por favor?"" y siguió preparándose para ir al colegio. Pero Papá no oyó a Emma pedir su pelota roja.","Dann ging Emma in ihr Zimmer, um sich für die Schule fertig zu machen. Während sie sich fertig machte, änderte sie ihre Meinung und rief ihrem Vater zu: „Darf ich stattdessen meinen roten Ball haben?“ und machte sich weiter fertig für die Schule. Aber Papa hörte nicht, wie Emma nach ihrem roten Ball fragte.",,,,,,"Então Emma foi para seu quarto se preparar para a escola. Enquanto se preparava, mudou de ideia, então gritou para o pai: ""Na verdade, posso ficar com a bola vermelha, por favor?"" e continuou se preparando para a escola. Mas o pai não ouviu Emma pedir a bola vermelha."
ToM-scene-12-q1-false_belief,"theory-of-mind, Stories",Which toy does Dad think Emma wants to bring to school?,¿Cuál juguete cree el papá que Emma quiere llevar a la escuela?,"Was glaubt Papa, welches Spielzeug Emma mit in die Schule nehmen möchte?",,,,,,Qual brinquedo o pai acha que Emma quer levar para a escola?
ToM-scene-12-instruct3,"theory-of-mind, Stories","Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead.","El papá no oyó a Emma decir que quería su pelota roja. Así que el papá piensa que Emma quiere su pelota amarilla. El papá va a preparar la mochila de Emma, ¡pero no encuentra su pelota amarilla en la caja de juguetes! Pero papá el encuentra la pelota azul en la caja de juguetes, así que empaca la pelota azul en la maleta de Emma.","Papa hat Emma nicht sagen hören, dass sie ihren roten Ball haben möchte. Deshalb denkt Papa, dass Emma ihren gelben Ball haben möchte. Papa geht los, um Emmas Tasche zu packen, kann aber ihren gelben Ball in der Spielzeugkiste nicht finden! Aber Papa findet einen blauen Ball in der Spielzeugkiste, also packt er stattdessen den blauen Ball für Emma ein.",,,,,,"O papai não ouviu Emma dizer que ela quer sua bola vermelha. Então o papai pensa que Emma quer sua bola amarela. O papai vai arrumar a mochila de Emma, mas não consegue encontrar a bola amarela na caixa de brinquedos! Mas o papai encontra uma bola azul na caixa de brinquedos, então ele coloca a bola azul na mochila de Emma."
