identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,isHidden
ToM-scene7-instruct1,"theory-of-mind, Stories","Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.","Aquí está Diana. Esta mañana en el colegio, Diana ha metido su juguete en este cajón porque no quería que nadie lo encontrara.","Das ist Diana. Als sie heute Morgen in die Schule kam, hat Diana ihr Spielzeug in diese Schublade gelegt, weil sie nicht wollte, dass es jemand findet.","Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.","Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.","Das ist Diana. Als sie heute Morgen in die Schule kam, hat Diana ihr Spielzeug in diese Schublade gelegt, weil sie nicht wollte, dass es jemand findet.","Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.","Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.",
ToM-scene7-instruct2,"theory-of-mind, Stories","But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk.","Pero mientras Diana estaba fuera, ¡alguien lo encontró! Y lo movió del cajón al escritorio.","Aber während Diana draußen war, hat es jemand gefunden und aus der Schublade in den Schreibtisch gelegt.","But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk.","But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk.","Aber während Diana draußen war, hat es jemand gefunden und aus der Schublade in den Schreibtisch gelegt.","But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk.","But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk.",
ToM-scene7-instruct3,"theory-of-mind, Stories",So now it’s playtime and Diana wants her toy.,Así que ahora es hora de jugar y Diana quiere su juguete.,Nun haben die Kinder Zeit zum Spielen und Diana möchte ihr Spielzeug holen.,So now it’s playtime and Diana wants her toy.,So now it’s playtime and Diana wants her toy.,Nun haben die Kinder Zeit zum Spielen und Diana möchte ihr Spielzeug holen.,So now it’s playtime and Diana wants her toy.,So now it’s playtime and Diana wants her toy.,
ToM-scene7-q1-false_belief,"theory-of-mind, Stories",Where will Diana look for her toy?,¿Dónde buscará Diana su juguete?,Wo wird Diana nach ihrem Spielzeug suchen?,Where will Diana look for her toy?,Where will Diana look for her toy?,Wo wird Diana nach ihrem Spielzeug suchen?,Where will Diana look for her toy?,Where will Diana look for her toy?,
ToM-scene7-q2-reality_check,"theory-of-mind, Stories",And where is her toy really?,¿Y dónde está realmente su juguete?,Und wo ist ihr Spielzeug wirklich?,And where is her toy really?,And where is her toy really?,Und wo ist ihr Spielzeug wirklich?,And where is her toy really?,And where is her toy really?,
desk,"theory-of-mind, Stories",In the desk,En el escritorio,Im Schreibtisch,In the desk,In the desk,Im Schreibtisch,In the desk,In the desk,
drawer,"theory-of-mind, Stories",In the drawer,En el cajón,In der Schublade,In the drawer,In the drawer,In der Schublade,In the drawer,In the drawer,
ToM-scene8-instruct1,"theory-of-mind, Stories","This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf.","Esta mañana, cuando vino a la escuela, Alejandra puso su lápiz de color amarillo en la repisa, sobre el mueble de las maletas.","Heute Morgen, als sie in die Schule kam, legte Linda ihren gelben Bleistift auf das Regal über dem Rucksackregal.","This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf.","This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf.","Heute Morgen, als sie in die Schule kam, legte Linda ihren gelben Bleistift auf das Regal über dem Rucksackregal.","This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf.","This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf.",
ToM-scene8-instruct2,"theory-of-mind, Stories","And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?","Y luego salió a jugar, ¿ves? Aquí está Alejandra jugando afuera. Y mientras estaba afuera jugando, el lápiz de color amarillo de Alejandra se cayó de la repisa y quedó detrás del mueble de las maletas, ¿ves?","Und dann ist sie zum spielen nach draußen gegangen, siehst du? Und während sie draußen spielte, fiel Lindas gelber Bleistift von oben runter und hinter das Rucksackregal, siehst du?","And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?","And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?","Und dann ist sie zum spielen nach draußen gegangen, siehst du? Und während sie draußen spielte, fiel Lindas gelber Bleistift von oben runter und hinter das Rucksackregal, siehst du?","And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?","And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?",
ToM-scene8-instruct3,"theory-of-mind, Stories","Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.","Entonces entra Miguel y Miguel pone su lápiz encima del mueble de las maletas. El lápiz de Miguel también es de color amarillo. Pero Alejandra todavía está fuera jugando, así que no vio lo que Miguel estaba haciendo.","Dann kommt Tim herein, und Tim legt seinen Bleistift auf das Regal über dem Rucksackregal. Tims Bleistift ist auch gelb! Aber Linda ist noch draußen und spielt, deshalb hat sie nicht gesehen, was Tim gemacht hat.","Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.","Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.","Dann kommt Tim herein, und Tim legt seinen Bleistift auf das Regal über dem Rucksackregal. Tims Bleistift ist auch gelb! Aber Linda ist noch draußen und spielt, deshalb hat sie nicht gesehen, was Tim gemacht hat.","Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.","Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.",
ToM-scene8-q1-false_belief,"theory-of-mind, Stories","Now, when Allie comes in from outside, where will she look first for her pencil?","Ahora, cuando Alejandra vuelva de fuera, ¿dónde buscará primero su lápiz?","Wenn Linda jetzt von draußen reinkommt, wo wird sie zuerst nach ihrem Bleistift suchen?","Now, when Allie comes in from outside, where will she look first for her pencil?","Now, when Allie comes in from outside, where will she look first for her pencil?","Wenn Linda jetzt von draußen reinkommt, wo wird sie zuerst nach ihrem Bleistift suchen?","Now, when Allie comes in from outside, where will she look first for her pencil?","Now, when Allie comes in from outside, where will she look first for her pencil?",
top,"theory-of-mind, Stories",On top of the shelf above the backpack shelf,En la repisa sobre el mueble de las maletas,Oben auf dem Regal über dem Rucksackregal.,On top of the shelf above the backpack shelf,On top of the shelf above the backpack shelf,Oben auf dem Regal über dem Rucksackregal.,On top of the shelf above the backpack shelf,On top of the shelf above the backpack shelf,
behind,"theory-of-mind, Stories",Behind the backpack shelf,Detrás del mueble de las maletas,Hinter dem Rucksackregal,Behind the backpack shelf,Behind the backpack shelf,Hinter dem Rucksackregal,Behind the backpack shelf,Behind the backpack shelf,
ToM-scene-8-instruct4,"theory-of-mind, Stories","Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!","Veamos lo que hace. Oh, mira, aquí está Alejandra cogiendo este lápiz de encima del mueble. Y ahora Miguel ve a Alejandra cogiendo ese lápiz... ¡el lápiz que es de Miguel!","Schauen wir mal, was sie macht. Oh, sieh mal, hier greift Linda nach dem Bleistift oben auf dem Regal. Und jetzt sieht Tim, wie Linda nach dem Bleistift greift... dem Bleistift, der Tim gehört!","Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!","Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!","Schauen wir mal, was sie macht. Oh, sieh mal, hier greift Linda nach dem Bleistift oben auf dem Regal. Und jetzt sieht Tim, wie Linda nach dem Bleistift greift... dem Bleistift, der Tim gehört!","Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!","Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!",
ToM-scene-8-q2-emotion_reasoning,"theory-of-mind, Stories",How do you think Mike feels about Allie reaching for that pencil?,¿Cómo crees que se siente Miguel cuando Alejandra intenta coger ese lápiz?,"Was glaubst du, wie Tim sich fühlt, wenn Linda nach dem Bleistift greift?",How do you think Mike feels about Allie reaching for that pencil?,How do you think Mike feels about Allie reaching for that pencil?,"Was glaubst du, wie Tim sich fühlt, wenn Linda nach dem Bleistift greift?",How do you think Mike feels about Allie reaching for that pencil?,How do you think Mike feels about Allie reaching for that pencil?,
ToM-scene-8-q3-emotion_reasoning,"theory-of-mind, Stories",How do you think Mike would feel if he had not seen Allie reaching for the pencil?,¿Cómo crees que se sentiría Miguel si no hubiera visto a Alejandra intentar coger el lápiz?,"Wie würde sich Tim wohl fühlen, wenn er nicht gesehen hätte, wie Linda nach dem Bleistift greift?",How do you think Mike would feel if he had not seen Allie reaching for the pencil?,How do you think Mike would feel if he had not seen Allie reaching for the pencil?,"Wie würde sich Tim wohl fühlen, wenn er nicht gesehen hätte, wie Linda nach dem Bleistift greift?",How do you think Mike would feel if he had not seen Allie reaching for the pencil?,How do you think Mike would feel if he had not seen Allie reaching for the pencil?,
ToM-scene-8-q4-false_belief,"theory-of-mind, Stories",Is Allie being mean and naughty for taking Mike’s pencil?,¿Alejandra está siendo mala y traviesa por coger el lápiz de Miguel?,"Ist es gemein und frech von Linda, dass sie Tims Bleistift genommen hat?",Is Allie being mean and naughty for taking Mike’s pencil?,Is Allie being mean and naughty for taking Mike’s pencil?,"Ist es gemein und frech von Linda, dass sie Tims Bleistift genommen hat?",Is Allie being mean and naughty for taking Mike’s pencil?,Is Allie being mean and naughty for taking Mike’s pencil?,
ToM-scene-8-q5-false_belief,"theory-of-mind, Stories",Should Allie get in trouble with the teacher for taking Mike’s pencil?,¿Debería Alejandra meterse en problemas con el profesor por coger el lápiz de Miguel?,"Sollte Linda Ärger mit der Lehrerin bekommen, weil sie Tims Bleistift genommen hat?",Should Allie get in trouble with the teacher for taking Mike’s pencil?,Should Allie get in trouble with the teacher for taking Mike’s pencil?,"Sollte Linda Ärger mit der Lehrerin bekommen, weil sie Tims Bleistift genommen hat?",Should Allie get in trouble with the teacher for taking Mike’s pencil?,Should Allie get in trouble with the teacher for taking Mike’s pencil?,
